
ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
278,24288,,คลินิกเวชกรรมเฉพาะทางศรีราชาอายุรแพทย์,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
280,24315,,ศรีจุฬาคลินิกเวชกรรม,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
281,24316,,คลินิกแพทย์ขจิตร์เวชกรรม,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
283,24318,,คลินิกแพทย์ธีรศักดิ์,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
284,24319,,คลินิกแพทย์พัลลภเวชกรรม,,พลูตาหลวง,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
285,24329,,คลินิกแพทย์ฤกษ์โรจน์,,นาจอมเทียน,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
286,24330,,คลินิกแพทย์จอมเทียน,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
287,24331,,คลินิกเวชกรรมแพทย์ชวัช,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
288,24332,,มงกุฎบ่อวินคลินิกเวชกรรม,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
289,24464,,คลินิกเวชกรรมหมอหลาย,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
290,24535,,คลินิกเวชกรรมเฉพาะทางแพทย์ธเนศ,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
291,24659,,ชลบุรีคลินิกเวชกรรม,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน),
292,24666,,คณะการแพทย์แผนไทยอภัยภูเบศร มหาวิทยาลัยบูรพา,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,รัฐนอก สธ.,สังกัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,
293,24671,,ศูนย์บริการสาธารณสุขเทศบาลเมืองหนองปรือ,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
294,24699,,คลินิกหมอฤทธิเดชเวชกรรมเฉพาะทาง,,บางทราย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
295,24700,,คลินิกกายภาพบำบัดนาเกลือ,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
296,24728,,คลินิกแพทย์สุรกิจ,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
298,24737,,คลินิกหมอฤทธิเดช เวชกรรมเฉพาะทาง,,บางทราย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
299,24784,,คลินิกแพทย์มาโนชญ์ สูติ-นรีแพทย์,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
300,24785,,คลินิกเวชกรรมเฉพาะทางแพทย์ขนิษฐา,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
301,24786,,คลินิกแพทย์บันเทิง,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
302,24787,,คลินิกแพทย์ยงยุทธ,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
303,24788,,ชูศักดิ์การแพทย์คลินิกและแล็บ,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
304,24789,,พนัสเวชคลินิก,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
305,24808,,คลินิกแพทย์วรรณา,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
306,24814,,คลินิกเวชกรรมเฉพาะทางสูตินรีเวช,,กุฎโง้ง,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
307,24815,,คลินิกเวชกรรมเฉพาะทางแพทย์วิศิษฏ์,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
308,24823,,คลินิกเวชกรรมเฉพาะทางพร้อมพงศ์การแพทย์,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
309,24895,,คลินิกเวชกรรมแพทย์เพชรดา,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
310,24896,,คลินิกสหพัฒน์แพทย์ณรงค์,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
311,24897,,คลินิกเวชกรรมแพทย์ฉัตรชัย,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
312,24898,,รวมกแพทย์โพลีคลินิก,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
313,24972,,ศูนย์ไตเทียมเทศบาลเมืองชลบุรี,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
315,27977,,คลินิกการยภาพบำบัด,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
316,27997,,คลินิกศูนย์โรคกระดูกและข้อ,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
317,28005,,โรงพยาบาลเมืองพัทยา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
318,28006,,โรงพยาบาลเกาะจันทร์,,เกาะจันทร์,เกาะจันทร์,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),
319,28854,,สถานพยาบาลอมตะเวชกรรม,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,โรงพยาบาล (เอกชน),
320,28864,,คลินิกเวชกรรมแพทย์โสรยา,,กุฎโง้ง,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
321,28877,,คลินิกเวชกรรมแพทย์ประทีป,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
322,31497,,โรงพยาบาลพญาไทบางพระ โรงพยาบาลทั่วไปขนาดเล็ก,,บางพระ,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,โรงพยาบาล (เอกชน),
323,37310,,คลินิกเวชกรรมกรุงเทพระยอง สาขาบ่อวิน,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
324,37525,,คลินิกตาหมอจิตตพันธ์เวชกรรมเฉพาะทาง,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
325,40538,,ศูนย์ไตเทียมเทศบาลเมืองหนองปรือ,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
326,40740,,คลินิกเวชกรรมเฉพาะทางวีรวัฒน์,,หนองไม้แดง,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
327,40750,,วิภาราม อมตะนครโรงพยาบาลทั่วไปขนาดใหญ่,,คลองตำหรุ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,, - ,,,เอกชน,โรงพยาบาล (เอกชน),
328,40761,,คลินิกเวชกรรมหมอกวาง,,นาป่า,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
329,40768,,โรงพยาบาลทั่วไปขนาดกลาง สมิติเวช ชลบุรี,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
330,40844,,คลินิกเวชกรรมแพทย์เอส.เค,,แสมสาร,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
331,40868,,คลินิกเวชกรรมเฉพาะทางตาหมอนีรุชา,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
332,40903,,คลินิกเวชกรรมหมอกฤชทอง,,พลูตาหลวง,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
333,40924,,คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์โรคหัวใจศรีราชา,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
334,41077,,สมปรารถนาคลินิกเวชกรรม,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
335,41081,,ศูนย์บริการสาธารณสุขเทศบาลเมืองดอนหัวฬ่อ,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการภาครัฐที่ยังไม่ขอขึ้นทะเบียนหน่วยบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
336,41111,,สำนักงานเขตสุขภาพที่ 6,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยวิชาการด้านสาธารณสุข,,,รัฐในสธ.(สังกัด สป.),ศูนย์วิชาการต่าง ๆ (ในสังกัด สป สธ.),
337,41293,,สำนักงานสนับสนุนบริการสุขภาพ เขต 6 จ.ชลบุรี,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยวิชาการด้านสาธารณสุข,,,รัฐในสธ.(นอก สป.),สังกัดกรมสนับสนุนบริการสุขภาพ,
338,41309,,ปิ่นทองสหคลินิก,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
340,41350,,สหคลินิกอัสสัม,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
342,41363,,คลินิกเวชกรรมสี่มุมเมืองการแพทย์,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
344,41397,,คลินิกกายภาพบำบัดบ่อวิน,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
345,41416,,คลินิกเฉพาะทางด้านเวชกรรมไตเทียมแสนสุข,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน),
346,41431,,ศูนย์บริการสาธารณสุข1 องค์การบริหารส่วนตำบลบ่อวิน,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการภาครัฐที่ยังไม่ขอขึ้นทะเบียนหน่วยบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
350,41512,,คลินิกเวชกรรมปิ่นทองการแพทย์,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
351,41517,,คลินิกเวชกรรม บ้านบ่อวิน,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
352,41518,,คลินิกเวชกรรมแพทย์รัชกฤช,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
353,41550,,สถาบันพัฒนานวัตกรรมด้านระบบบริหารสุขภาพภาคกลาง จังหวัดชลบุรี,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยวิชาการด้านสาธารณสุข,,,รัฐในสธ.(นอก สป.),สังกัดกรมสนับสนุนบริการสุขภาพ,
354,41558,,ออคซิแคร์ ชลบุรี สหคลินิก,,ห้วยกะปิ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,คลินิก (เอกชน),
355,41568,,คลินิกเวชกรรมนายแพทย์วรพจน์,,พลูตาหลวง,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
356,41591,,คลินิกทันตกรรมหมอฟันคู่ใจ,,บึง,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
361,41711,,โรงพยาบาลเฉพาะทางมะเร็งขนาดเล็กแคนเซอร์อลิอันซ์ ศรีราชา,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
362,41730,,โรงพยาบาลเฉพาะทางมะเร็ง วิภารามอมตะนครขนาดเล็ก,,คลองตำหรุ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
363,41734,,ออรีจีน สหคลินิก,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
364,41762,,แพทย์ปริญญาคลินิกเวชกรรม สาขาพระยาสัจจา,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
365,41774,,คลินิกทันตกรรมเอสซี,,กุฎโง้ง,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
366,41777,,โซลคลินิกเวชกรรม พัทยา,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
367,41779,,คลินิกทันตกรรมศรีราชาสไมล์,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
370,41859,,โรงพยาบาลจอมเทียน โรงพยาบาลทั่วไปขนาดกลาง,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
371,41878,,คลินิกเทคนิคการแพทย์ ซิสเตอร์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
372,41881,,คลินิกหูคอจมูกหมอสมชาย,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
373,41886,,เดอะคัพเพิลคลินิก คลินิกเฉพาะทางด้านเวชกรรมศัลยกรรมทั่วไป,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
374,41887,,คลินิกกายภาพบำบัดไร่กล้วย,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
375,42029,,อุ่นใจคลินิกการพยาบาลและการผดุงครรภ์,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
376,42088,,สุพิชชพงศ์ คลินิกกายภาพบำบัด,,ห้วยใหญ่,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
377,42185,,คลินิกเวชกรรมพัฒนแพทย์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
378,42241,,ชิตติพงษ์ คลินิกการแพทย์แผนไทยประยุกต์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
379,42321,,จรรย์กมลคลินิกเวชกรรม,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
380,42323,,คลินิกกายภาพบำบัดสี่มุมเมือง,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
383,42347,,คลินิกเวชกรรมหนองหว้าการแพทย์,,บึง,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
384,42351,,เดอะโว้กคลินิกเวชกรรม สาขาชลบุรี,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
385,42369,,คลินิกเฉพาะทางด้านเวชกรรมกุมาร ดีดี คิดส์,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
386,42378,,คลินิกเฉพาะทางด้านเวชกรรมอายุรกรรมด็อกเตอร์ญาดา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
387,42386,,โซลคลินิกเวชกรรม บ่อวิน,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
388,42398,,วีภัทร สหคลินิก,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
390,42420,,มนัสวดี คลินิกเวชกรรม,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
391,42436,,สร้างสุขคลินิกเวชกรรม,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
392,42443,,คลินิกโลมาการแพทย์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
394,42463,,วีแคร์คลินิกเวชกรรม สาขาถนนพัทยากลาง,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
396,42484,,คลินิกเฉพาะทางด้านเวชกรรม กุมารเวช หมอมะเหมี่ยว,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
397,42490,,คลินิกเวชกรรมบูรพารักษ์ สาขาศรีราชา,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
398,42515,,คลินิกแพทย์สาโรจน์ อมรรัตน์ สาขาดอนหัวฬ่อ,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
401,42656,,คลินิกเฉพาะทางด้านเวชกรรมศัลยศาสตร์ออร์โธปิดิกส์และศุติศาสตร์-นรีเวชวิทยาแพทย์สาโรจน์ อมรรัตน์ สาขา1,,พานทอง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
