
ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
146,11847,,โรงพยาบาลเอกชล,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
147,11850,,โรงพยาบาลกรุงเทพพัทยาโรงพยาบาลทั่วไปขนาดใหญ่,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
148,11851,,โรงพยาบาลพัทยาเมโมเรียล ชลบุรี,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,โรงพยาบาล (เอกชน),
149,11852,,โรงพยาบาลพัทยาอินเตอร์เนชั่นแนลฮอสพิทอลโรงพยาบาลทั่วไปขนาดกลาง,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
150,11853,,โรงพยาบาลสมิติเวชศรีราชาโรงพยาบาลทั่วไปขนาดใหญ่,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
151,11854,,วิภารามแหลมฉบังโรงพยาบาลทั่วไปขนาดใหญ่,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
152,11855,,โรงพยาบาลพญาไทศรีราชาโรงพยาบาลทั่วไปขนาดใหญ่,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
153,11896,,ศูนย์บริการสาธารณสุขเทศบาลตำบลบางพระ,,เขาคันทรง,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
154,11950,,ศูนย์บริการสาธารณสุขเทศบาลตำบลสัตหีบ,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
155,11987,,ศูนย์บริการสาธารณสุขเทศบาลตำบลบางเสร่,,บางเสร่,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
156,11996,,สำนักการสาธารณสุขและสิ่งแวดล้อมเมืองพัทยา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยวิชาการด้านสาธารณสุข,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
157,12191,,ศูนย์บริการสาธารณสุขเทศบาลตำบลบ่อทอง,,เกษตรสุวรรณ,บ่อทอง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
158,12208,,ศูนย์บริการสาธารณสุขเทศบาลตำบลจอมเทียน,,-,-,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
159,12442,,โรงพยาบาลสมเด็จพระสังฆราชญาณสังวรเพื่อผู้สูงอายุ,,ห้วยใหญ่,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์,
160,12453,,แผนกแพทย์ศูนย์ฝึกทหาร,,-,-,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม,
161,12454,,แผนกแพทย์ฯรร.ทหารเกล็ดแก้ว,,บางเสร่,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม,
162,12456,,กองพันพยาบาล สนับสนุน,,บางเสร่,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม,
163,13713,,ศูนย์วิชาการวิทยาลัยพยาบาลราชชนีชลบุรี,,-,-,,ชลบุรี,เขต 6 ระยอง,,หน่วยวิชาการด้านสาธารณสุข,,,รัฐในสธ.(สังกัด สป.),ศูนย์วิชาการต่าง ๆ (ในสังกัด สป สธ.),
164,13741,,วิทยาลัยการสาธารณสุขสิรินธร ชลบุรี,,-,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,รัฐในสธ.(สังกัด สป.),ศูนย์วิชาการต่าง ๆ (ในสังกัด สป สธ.),
165,13754,,โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐพิเศษ,สังกัดสภากาชาดไทย,
166,13758,,โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์,,พลูตาหลวง,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงกลาโหม,
