ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
115,CA0038120,,แพทย์หญิงหนึ่งฤทัยคลินิก,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
116,CA0024524,,คลินิกแพทย์บุญลักษณ์-เกรียงศักดิ์,,ตะคร้ำเอน,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
117,CA0038112,,คลินิกผาวังจันทร์การแพทย์แผนไทย,,หลุมรัง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
118,CA0038117,,คลินิกนายแพทย์ประวัติ,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
119,CA0038113,,คลินิกกาญจณาแพทย์แผนไทย,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
120,CA0038118,,แพทย์โกสินทร์คลินิก,,ลิ่นถิ่น,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
121,CA0038121,,คลินิกแพทย์ศิวะพงษ์,,หนองขาว,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
122,CA0038127,,วันชัยคลินิก,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
123,CA0024441,,คลินิกแพทย์เชาวโรจน์,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
124,CA0024440,,คลินิกสมพงษ์การแพทย์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
125,CA0038128,,คลินิกนายแพทย์ธานี,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
126,CA0038133,,คลินิกศิริมิตรการแพทย์,,พนมทวน,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
127,CA0038141,,คลินิกแพทย์เพียรศักดิ์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
128,CA0038130,,คลินิกแพทย์พงษ์ภัทร,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
129,CA0024431,,คลินิกแพทย์กัณฐัศ,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
130,CA0038131,,คลินิกหมอวิบูลย์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
131,CA0038132,,คลินิกปริญญาการแพทย์,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
132,CA0038134,,เฉลิมชัยคลินิกแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
133,CA0038138,,คลินิกแพทย์ประยงค์ศรี,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
134,CA0038139,,คลินิกลาดหญ้าการแพทย์,,ลาดหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
135,CA0038147,,คลินิกแพทย์บุศรินทร์,,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
136,CA0038151,,ดอนรักคลินิกการแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
137,CA0038153,,นิติพลคลินิกเวชกรรม สาขากนกกาญจน์ กาญจนบุรี,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
138,CA0038135,,แพทย์โกสินทร์บ่อพลอยคลินิก,,หนองบัว,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
139,CA0024430,,กาญจน์คลินิกแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
140,CA0038144,,คลินิกแพทย์หญิงจรวยพร,,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
141,CA0038145,,คลินิกแพทย์สหเทพ,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
142,CA0038149,,คลินิกแพทย์พงศ์ศักดิ์เวชกรรม,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
143,CA0038136,,กาญจนบุรีคลินิกแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
144,CA0038137,,คลินิกเวชกรรมกม.9,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
145,CA0038142,,คลินิกแพทย์ณรงค์,,ลาดหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
146,CA0038143,,คลินิกแพทย์วันจันทร์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
147,CA0038146,,คลินิกมนัสการแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
148,CA0038150,,คลินิกหมอโสภณ,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
149,CA0038152,,นิติพลคลินิกเวชกรรม สาขาโรบินสันกาญจนบุรี,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
150,CA0038154,,ราชวิถีคลินิกเวชกรรม สาขากาญจนบุรี,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
151,CA0038155,,รวมแพทย์คลินิก 2,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
152,CA0038156,,วุฒิ-ศักดิ์คลินิกเวชกรรมสาขาโรบินสันกาญจนบุรี,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
153,CA0024429,,อรวรรณการแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
154,CA0038158,,คลินิกแพทย์ห้วยกระเจาเวชกรรม,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
155,CA0038159,,เสรีคลินิก,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
156,CA0038160,,คลินิกโรคผิวหนัง,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
157,CA0038161,,คลินิกแพทย์ชนะพล,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
158,CA0038162,,คลินิกแพทย์โสภิดา-ศราวุธ,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
159,CA0038163,,คลินิกเด็กหมอวินิต,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
160,CA0038164,,คลินิกเด็กหมอพัชราภรณ์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
161,CA0038165,,ถิรโรจน์การแพทย์,,หนองขาว,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
162,CA0038166,,วรพัฒน์คลินิก,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
163,CA0038167,,หมอแนน คลินิกตา,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
164,CA0038169,,คลินิกหมอชุติมา,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
165,CA0038170,,คลินิกโรคข้อและกระดูกหมอพงษ์ภัทร,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
166,CA0038171,,คลินิกแพทย์อรรถพล,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
167,CA0038172,,ธาราคลินิก,,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
168,CA0038173,,นันดาคลินิกเด็ก,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
169,CA0038174,,บ้านรักผิวคลินิก,,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
170,CA0038175,,หมอแก้วสกินคลินิก,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
171,CA0038176,,ออร์โธปิดิกส์ คลินิก โดย น.พ.จรัญ,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
172,GA0008058,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเอราวัณ ตำบลท่ากระดาน,,ท่ากระดาน,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
173,GA0008024,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก่งหลวง ตำบลเกาะสำโรง,,เกาะสำโรง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
174,GA0008059,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าลำใย ตำบลเขาโจด,,เขาโจด,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
175,GA0008060,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำพุล่าง ตำบลเขาโจด,,เขาโจด,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
176,GA0008025,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเก่า ตำบลบ้านเก่า,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
177,GA0008095,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหินดาด ตำบลหินดาด,,หินดาด,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
178,GA0008021,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทับศิลา ตำบลช่องสะเดา,,ช่องสะเดา,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
179,GA0008033,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งก้างย่าง ตำบลไทรโยค,,ไทรโยค,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
180,GA0008054,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าสนุ่น ตำบลด่านแม่แฉลบ,,ด่านแม่แฉลบ,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
181,GA0008055,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเกาะบุก ตำบลหนองเป็ด,,หนองเป็ด,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
182,GA0008031,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่น้ำน้อย ตำบลไทรโยค,,ไทรโยค,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
183,GA0008034,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดาวดึงส์ ตำบลไทรโยค,,ไทรโยค,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
184,GA0008036,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าเสา ตำบลท่าเสา,,ท่าเสา,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
185,GA0008052,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสามยอด ตำบลช่องด่าน,,ช่องด่าน,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
186,GA0008062,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยางม่วง ตำบลยางม่วง,,ยางม่วง,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
187,GA0008066,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาตะพั้น ตำบลโคกตะบอง,,โคกตะบอง,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
188,GA0008071,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหวายเหนียว ตำบลหวายเหนียว,,หวายเหนียว,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
189,GA0008076,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศาลเจ้าโพรงไม้ ตำบลวังขนาย,,วังขนาย,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
190,GA0008137,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปากดง ตำบลหนองไผ่,,หนองไผ่,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
191,GA0008140,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโป่งช้าง ตำบลหนองปรือ,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
192,GA0008141,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองใหญ่ ตำบลหนองปรือ,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
193,GA0008083,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสระเศรษฐี ตำบลบ้านใหม่,,บ้านใหม่,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
194,GA0008104,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่พัฒนา ตำบลหนองลู,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
195,GA0008106,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพระเจดีย์สามองค์ ตำบลหนองลู,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
196,GA0008120,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาวงพระจันทร์ ตำบลหนองฝ้าย,,หนองฝ้าย,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
197,GA0008127,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองจั่น ตำบลหนองนกแก้ว,,หนองนกแก้ว,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
198,GA0008142,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพยอมงาม ตำบลหนองปลาไหล,,หนองปลาไหล,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
199,GA0008144,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองผักแว่น ตำบลสมเด็จเจริญ,,สมเด็จเจริญ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
200,GA0008125,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปลิง ตำบลหนองปลิง,,หนองปลิง,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
201,GA0008148,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนแสลบ ตำบลดอนแสลบ,,ดอนแสลบ,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
202,GA0077716,,ศูนย์สุขภาพชุมชนเมืองเทศบาลเมืองกาญจนบุรี,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.)
203,GA0014821,,ศูนย์บริการสาธารณสุขเทศบาลเมืองท่าเรือพระแท่น,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
204,FA0011520,,โรงพยาบาลค่ายสุรสีห์,,ลาดหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาล นอก สธ.
205,GA0022775,,สถานพยาบาลเรือนจำจังหวัด       กาญจนบุรี,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข
206,GA0022827,,สถานพยาบาลเรือนจำอำเภอทองผาภูมิ,,ท่าขนุน,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข
207,HA0012107,,โรงพยาบาลธนกาญจน์,,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,โรงพยาบาลเอกชน
208,BA0000729,,สำนักงานสาธารณสุขอำเภอเมืองกาญจนบุรี,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
209,CA0024252,,แสงชูโตคลินิกเวชกรรม,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
210,BA0000741,,สำนักงานสาธารณสุขอำเภอห้วยกระเจา,,ห้วยกระเจา,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
211,HA0012104,,สถานพยาบาลท่าเรือ,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,โรงพยาบาลเอกชน
212,AA0000055,,สำนักงานสาธารณสุขจังหวัดกาญจนบุรี,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด
213,GA0099853,,ศูนย์บริการสุขภาพชุมชนองค์การบริหารส่วนตำบลท่ามะกา,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.)
214,CA0040923,,คลินิกเวชกรรมเฉพาะทางนายแพทย์กำพล,,พระแท่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
215,BA0000730,,สำนักงานสาธารณสุขอำเภอไทรโยค,,ลุ่มสุ่ม,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
216,BA0000732,,สำนักงานสาธารณสุขอำเภอศรีสวัสดิ์,,ด่านแม่แฉลบ,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
217,BA0000739,,สำนักงานสาธารณสุขอำเภอด่านมะขามเตี้ย,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
218,BA0000736,,สำนักงานสาธารณสุขอำเภอสังขละบุรี,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
219,BA0000740,,สำนักงานสาธารณสุขอำเภอหนองปรือ,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
220,BA0000737,,สำนักงานสาธารณสุขอำเภอพนมทวน,,พนมทวน,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
221,BA0000738,,สำนักงานสาธารณสุขอำเภอเลาขวัญ,,เลาขวัญ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
222,BA0000731,,สำนักงานสาธารณสุขอำเภอบ่อพลอย,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
223,BA0000735,,สำนักงานสาธารณสุขอำเภอทองผาภูมิ,,ท่าขนุน,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
224,BA0000734,,สำนักงานสาธารณสุขอำเภอท่าม่วง,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สำนักงานสาธารณสุขอำเภอ
225,GA0010619,,สถานบริการสาธารณสุขชุมชนบ้านจะแก,,ไล่โว่,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,สถานบริการสาธารณสุขชุมชน
