ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
25,GA0014445,,เทศบาลเมืองกาญจนบุรี,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
26,CA0024432,,คลินิกวราพรการแพทย์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
27,CA0024427,,ท่าม่วงคริสเตียนคลินิกแพทย์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
28,CA0024436,,คลินิกนายแพทย์ทนงค์ศักดิ์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
29,CA0024437,,คลินิกหมอพวงทิพย์,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
30,CA0024423,,เมืองทองคลินิกแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
31,CA0024428,,คลินิกหมอสุวิมล,,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
32,CA0024425,,คลินิกแพทย์สุเทพ,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
33,CA0024426,,คลินิกบัณฑิตการแพทย์,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
34,CA0024424,,คลินิกแพทย์พลตรี,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
35,CA0024421,,คลินิกแพทย์ปัญญา,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
36,CA0024438,,คลินิกแพทย์พงษ์ศักดิ์,,ท่าเรือ,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
